[2025-02-14 15:10:08] This is codeql database index-files --include-extension=.properties --size-limit=5m --language properties -- /Users/thida/ftp/gradle-project-demo/demo
[2025-02-14 15:10:08] Log file was started late.
[2025-02-14 15:10:08] Using index-files script /opt/homebrew/Caskroom/codeql/2.20.4/codeql/properties/tools/index-files.sh.
[2025-02-14 15:10:08] [PROGRESS] database index-files> Scanning for files in /Users/thida/ftp/gradle-project-demo...
[2025-02-14 15:10:08] Calling plumbing command: codeql resolve files --include-extension=.properties --size-limit=5m /Users/thida/ftp/gradle-project-demo --format=json
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/diagnostic...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/diagnostic/tracer...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/diagnostic/extractors...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/diagnostic/extractors/java...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/diagnostic/extractors/xml...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/usr...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/usr/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines/jdk-23.jdk...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines/jdk-23.jdk/Contents...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines/jdk-23.jdk/Contents/Home...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines/jdk-23.jdk/Contents/Home/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/Library/Java/JavaVirtualMachines/jdk-23.jdk/Contents/Home/lib...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql/tools...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql/tools/osx64...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql/tools/osx64/java-aarch64...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql/tools/osx64/java-aarch64/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Caskroom/codeql/2.20.4/codeql/tools/osx64/java-aarch64/lib...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/opt...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/opt/openjdk@17...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/opt/openjdk@17/bin...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14/libexec...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14/libexec/openjdk.jdk...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14/libexec/openjdk.jdk/Contents...
[2025-02-14 15:10:08] [PROGRESS] resolve files> Scanning /Users/thida/ftp/gradle-project-demo/demo/working/copy-root/000001F5/opt/homebrew/Cellar/openjdk@17/17.0.14/libexec/openjdk.jdk/Contents/Home...
